ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
89227,Borys Hryhorovych Onyshchenko,M,31.0,178.0,74.0,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
73415,Jan Magiera,M,26.0,178.0,78.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Cycling,"Cycling Men's Road Race, Individual",
90433,lvaro Pachn Morales,M,30.0,166.0,70.0,Colombia,COL,1976 Summer,1976,Summer,Montreal,Cycling,Cycling Men's 100 kilometres Team Time Trial,
24958,Addison Brian Dale,M,37.0,180.0,91.0,Zimbabwe,ZIM,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Heavyweight I,
60706,Valery Viktorovich Kiriyenko,M,26.0,170.0,65.0,Unified Team,EUN,1992 Winter,1992,Winter,Albertville,Biathlon,Biathlon Men's 10 kilometres Sprint,
1238,Dario Aguilar Gonzlez,M,,,,Mexico,MEX,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Horizontal Bar,
85731,Nguyn Th Phng,F,15.0,,,Vietnam,VIE,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 100 metres Breaststroke,
57662,Karl Gunnar Alfred Karlsson-Tjrnebo,M,33.0,176.0,68.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Athletics,"Athletics Men's 3,000 metres Steeplechase",
48662,Jitsuzo Hinago,M,43.0,,,Japan,JPN,1936 Summer,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event",
66357,Jrg Landvoigt,M,25.0,190.0,85.0,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Men's Coxless Pairs,Gold
119108,"Sylvie ""Sylviane"" Telliez (Marotel-)",F,25.0,170.0,58.0,France,FRA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 4 x 100 metres Relay,
27563,Dencho Todorov Denev,M,32.0,165.0,65.0,Bulgaria,BUL,1968 Summer,1968,Summer,Mexico City,Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres",
1394,Ghofran Ahmed Zaki,M,23.0,192.0,68.0,Egypt,EGY,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Featherweight,
90126,Terrence Oung,M,21.0,,,Myanmar,MYA,1956 Summer,1956,Summer,Melbourne,Boxing,Boxing Men's Light-Welterweight,
101069,Reinhard Ritter,M,23.0,163.0,55.0,West Germany,FRG,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Team All-Around,
46217,"Raymond Alan ""Ray"" Harrison",M,31.0,180.0,64.0,Great Britain,GBR,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Men's epee, Team",Silver
106597,Gottfried Schr,M,24.0,189.0,82.0,Switzerland,SUI,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxed Eights,
104896,Leandro Salvagno Rattaro,M,24.0,189.0,83.0,Uruguay,URU,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Single Sculls,
86516,Tsuyoshi Nishioka,M,24.0,182.0,80.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,
51027,Wolfgang Hunger,M,24.0,181.0,72.0,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Sailing,Sailing Mixed Two Person Dinghy,
48791,Motohiro Hirobe,M,32.0,182.0,71.0,Japan,JPN,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Men's Two Person Dinghy,
51316,Vadym Markovych Huttsait,M,28.0,180.0,74.0,Ukraine,UKR,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Men's Sabre, Team",
83863,Viola Myers,F,,,,Canada,CAN,1948 Summer,1948,Summer,London,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
74248,Ilgar Yashar-ogly Mamedov,M,30.0,183.0,83.0,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Fencing,"Fencing Men's Foil, Team",Gold
123842,Francisco Valadas Jnior,M,46.0,,,Portugal,POR,1952 Summer,1952,Summer,Helsinki,Equestrianism,"Equestrianism Mixed Dressage, Team",
19121,Fernando Jos Pereira Marqus Cavaleiro,M,31.0,,,Portugal,POR,1948 Summer,1948,Summer,London,Equestrianism,"Equestrianism Men's Three-Day Event, Team",
122850,Otar Tushishvili,M,26.0,177.0,66.0,Georgia,GEO,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Welterweight, Freestyle",
120241,Ricardo Ticchi,M,,,,Italy,ITA,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Free Rifle, Prone, 600 metres",
88099,Pieter Hendrik Offens,M,25.0,194.0,86.0,Netherlands,NED,1972 Summer,1972,Summer,Munich,Rowing,Rowing Men's Coxed Eights,
24450,Juliet Jean Cuthbert,F,28.0,160.0,54.0,Jamaica,JAM,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 4 x 100 metres Relay,
26983,Gervasio Deferr ngel,M,19.0,166.0,69.0,Spain,ESP,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Floor Exercise,
5804,Nancy Atiez Snchez,F,23.0,183.0,75.0,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Basketball,Basketball Women's Basketball,
115446,Barbara Stolz (Dix-),F,23.0,153.0,51.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Uneven Bars,
38212,Anabel Gambero Erdozain,F,28.0,165.0,58.0,Argentina,ARG,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Silver
41151,Boris Adrin Goldstein,M,17.0,173.0,68.0,Argentina,ARG,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Lightweight, Freestyle",
97775,Qin Yiyuan,F,27.0,173.0,62.0,China-1,CHN,2000 Summer,2000,Summer,Sydney,Badminton,Badminton Women's Doubles,Bronze
86585,Edward E. Nixson,M,,,,Great Britain,GBR,1908 Summer,1908,Summer,London,Wrestling,"Wrestling Men's Heavyweight, Freestyle",
100590,"Michael ""Mike"" Richmond",M,19.0,180.0,78.0,Australia,AUS,1980 Winter,1980,Winter,Lake Placid,Speed Skating,"Speed Skating Men's 1,500 metres",
90471,Willi Padge,M,16.0,168.0,56.0,Germany,GER,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxed Eights,Gold
69074,Katrin Leumann,F,22.0,174.0,53.0,Switzerland,SUI,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Women's Mountainbike, Cross-Country",
98248,"Maurice Leslie ""Morrie"" Rae",M,21.0,,,New Zealand,NZL,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 200 metres,
83288,Laurent Farci Munier,M,25.0,192.0,92.0,France,FRA,1992 Summer,1992,Summer,Barcelona,Handball,Handball Men's Handball,Bronze
96743,Robert Pranz,M,42.0,,,Austria,AUT,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,
134972,Stanisaw Ziffer,M,19.0,,,Poland,POL,1924 Summer,1924,Summer,Paris,Athletics,"Athletics Men's 3,000 metres, Team",
44536,Ferenc Habony,M,19.0,178.0,75.0,Hungary,HUN,1964 Summer,1964,Summer,Tokyo,Cycling,Cycling Men's Sprint,
12431,Andrzej Bawdzin,M,30.0,175.0,69.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Cycling,Cycling Men's 100 kilometres Team Time Trial,
102512,Jorge Rosado,M,21.0,165.0,52.0,Mexico,MEX,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Men's Flyweight, Freestyle",
97625,Pavel Pukr,M,36.0,177.0,82.0,Czech Republic-1,CZE,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Two,
105571,Carl Sander Santesson,M,25.0,,,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Pole Vault,
131636,Jeremy Lee Wotherspoon,M,33.0,190.0,85.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Speed Skating,Speed Skating Men's 500 metres,
63574,Alina Yevhenivna Kozich,F,20.0,161.0,52.0,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Balance Beam,
43154,Ricco Gro,M,35.0,179.0,75.0,Germany,GER,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Men's 10 kilometres Sprint,
82321,Anthony Mortas,M,23.0,184.0,86.0,France,FRA,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Men's Ice Hockey,
37127,Palle Frey,M,31.0,,,Denmark,DEN,1952 Summer,1952,Summer,Helsinki,Fencing,"Fencing Men's Sabre, Team",
22214,Acio Morrot Coelho,M,23.0,,,Brazil,BRA,1948 Summer,1948,Summer,London,Modern Pentathlon,Modern Pentathlon Men's Individual,
117239,Jrme Sylvestre,M,22.0,185.0,91.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Snowboarding,Snowboarding Men's Parallel Giant Slalom,
66732,"Sarah ""Sally"" Larner",F,15.0,153.0,41.0,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Team All-Around,
38520,Blanca Garca,F,21.0,185.0,83.0,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Volleyball,Volleyball Women's Volleyball,
118563,Sergey Nikolayevich Tarakanov,M,30.0,202.0,96.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Men's Basketball,Gold
30133,"Theodore Evans ""Ted"" Drury",M,20.0,183.0,86.0,United States,USA,1992 Winter,1992,Winter,Albertville,Ice Hockey,Ice Hockey Men's Ice Hockey,
20466,Yelena Chernetsova,F,23.0,,,Kazakhstan,KAZ,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 5/10 kilometres Pursuit,
48874,sds Hjlmsdttir,F,22.0,178.0,70.0,Iceland,ISL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Javelin Throw,
107183,A. Schmitt,M,,,,Switzerland,SUI,1924 Summer,1924,Summer,Paris,Art Competitions,Art Competitions Mixed Literature,
85201,John Maurer Nelson,M,20.0,178.0,66.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 400 metres Freestyle,
74874,Antonio Marcucci,M,22.0,183.0,87.0,Italy,ITA,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",
21378,Chuang Chih-Yuan,M,35.0,166.0,60.0,Chinese Taipei,TPE,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Singles,
6777,Dino Baggio,M,21.0,,,Italy,ITA,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,
39569,Rudolph George,M,23.0,185.0,70.0,Sierra Leone,SLE,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,
124487,Cornelis M. van der Walt,M,21.0,163.0,54.0,Zambia,ZAM,1964 Summer,1964,Summer,Tokyo,Boxing,Boxing Men's Bantamweight,
120384,"Maria Aaltje ""Marianne"" Timmer",F,23.0,174.0,63.0,Netherlands,NED,1998 Winter,1998,Winter,Nagano,Speed Skating,"Speed Skating Women's 1,500 metres",Gold
129904,Ulrike Weyh,F,15.0,158.0,43.0,West Germany,FRG,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Floor Exercise,
70249,Howard Andrew Lindsay,M,30.0,178.0,64.0,Antigua and Barbuda,ANT,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,
55072,Knut Johannesen,M,26.0,183.0,85.0,Norway,NOR,1960 Winter,1960,Winter,Squaw Valley,Speed Skating,"Speed Skating Men's 10,000 metres",Gold
29576,Diamantino Silveira dos Santos,M,31.0,166.0,59.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Marathon,
38243,Vtor Manuel Gomes Gamito,M,30.0,183.0,66.0,Portugal,POR,2000 Summer,2000,Summer,Sydney,Cycling,"Cycling Men's Road Race, Individual",
79722,"Samuel Anthony ""Sam"" Mikulak",M,19.0,165.0,64.0,United States,USA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,
31606,Paul Egloff,M,20.0,,,Switzerland,SUI,1980 Winter,1980,Winter,Lake Placid,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",
83821,Benjamin Mwangata,M,22.0,165.0,51.0,Tanzania,TAN,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Flyweight,
51507,Liliana Ibez Lpez,F,21.0,180.0,70.0,Mexico,MEX,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 200 metres Freestyle,
123977,Marie-Hlne Valrie-Pierre,F,21.0,163.0,51.0,Mauritius,MRI,2000 Summer,2000,Summer,Sydney,Badminton,Badminton Women's Doubles,
83598,"Thomas ""Tom"" Murray",M,22.0,189.0,87.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,
3034,Jos Mara Alonso de Areyzaga,M,34.0,,,Spain-2,ESP,1924 Summer,1924,Summer,Paris,Tennis,Tennis Men's Doubles,
38139,James Galli,M,,,,France,FRA,1948 Summer,1948,Summer,London,Boxing,Boxing Men's Heavyweight,
74612,Julius Carl Fritz Manteuffel,M,21.0,,62.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold
118467,Takayuki Tanii,M,25.0,167.0,57.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 20 kilometres Walk,
84094,Hideyuki Nagashima,M,31.0,175.0,82.0,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Middleweight, Freestyle",Silver
81629,John P. Mooney,M,36.0,177.0,79.0,United States,USA,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",
131443,"Man Chiu ""Ronnie"" Wong",M,16.0,170.0,73.0,Hong Kong,HKG,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 100 metres Backstroke,
63926,Roman Sergeyevich Krech,M,20.0,180.0,78.0,Kazakhstan,KAZ,2010 Winter,2010,Winter,Vancouver,Speed Skating,Speed Skating Men's 500 metres,
35648,"John Richardson ""Johnny"" Fitzpatrick",M,21.0,175.0,60.0,Canada,CAN,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,
80042,Lalita Vadimovna Milshina-Yauhleuskaya,F,44.0,158.0,64.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Women's Sporting Pistol, 25 metres",
98765,Heath Terrence Ramsay,M,19.0,188.0,76.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Butterfly,
28779,Bernd Dittert,M,31.0,186.0,86.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
101737,Domingo Rodrguez Somoza,M,34.0,,,Spain,ESP,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team",
55253,Nils Rudolf Johansson,M,25.0,173.0,63.0,Sweden,SWE,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 800 metres,
42828,Edwin Grienauer,M,55.0,,,Austria,AUT,1948 Summer,1948,Summer,London,Art Competitions,"Art Competitions Mixed Sculpturing, Medals And Plaques",Bronze
52120,Magnar Ingebrigtsli,M,23.0,,,Norway,NOR,1956 Winter,1956,Winter,Cortina d'Ampezzo,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,
63391,Ivn Kovcs,M,26.0,184.0,85.0,Hungary,HUN,1996 Summer,1996,Summer,Atlanta,Fencing,"Fencing Men's epee, Team",
111678,Kristen Skjeldal,M,24.0,175.0,70.0,Norway,NOR,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,
127215,Harald Vollmar,M,33.0,177.0,72.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Shooting,"Shooting Mixed Free Pistol, 50 metres",Silver
114854,Axel Harald Steinthal,M,36.0,,,Dansk Idrts Forbund,DEN,1906 Summer,1906,Summer,Athina,Rowing,Rowing Men's Coxed Pairs (1 mile),
108611,Celal ener,M,18.0,,,Turkey,TUR,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,
70839,"Alexander ""Alex"" Lloyd",M,25.0,194.0,88.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,
13787,George Walter Bossy,M,25.0,,,Canada,CAN,1952 Summer,1952,Summer,Helsinki,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",
45773,Lisa Caroline Hansen (-Stone),F,22.0,178.0,70.0,United States,USA,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Quadruple Sculls,
